region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
National,2020-04-08,nowcast,0.8,0.2,1.3,0.5,0.9,0.76
National,2020-04-09,nowcast,0.7,0.2,1.3,0.5,0.9,0.77
National,2020-04-10,nowcast,0.7,0.1,1.3,0.5,0.9,0.76
National,2020-04-11,nowcast,0.8,0.1,1.5,0.4,0.9,0.7
National,2020-04-12,nowcast,0.8,0.2,1.7,0.5,1,0.66
National,2020-04-13,nowcast,0.8,0.1,1.6,0.5,1,0.66
National,2020-04-14,nowcast,0.9,0.2,1.7,0.5,1,0.63
National,2020-04-15,nowcast,0.9,0.3,1.7,0.5,1,0.59
National,2020-04-16,nowcast,0.9,0.2,1.8,0.6,1.1,0.56
National,2020-04-17,nowcast,1,0.2,2,0.5,1.1,0.5
National,2020-04-18,nowcast,1.1,0.2,2.2,0.7,1.4,0.41
National,2020-04-19,nowcast,1.2,0.3,2.4,0.8,1.5,0.33
National,2020-04-20,nowcast,1.3,0.4,2.5,0.8,1.6,0.25
National,2020-04-21,nowcast,1.4,0.5,2.5,1,1.7,0.21
National,2020-04-22,nowcast,1.5,0.5,2.4,1,1.7,0.15
National,2020-04-23,nowcast,1.5,0.7,2.6,1.1,1.8,0.13
National,2020-04-24,nowcast,1.5,0.7,2.4,1.1,1.8,0.12
National,2020-04-25,nowcast,1.5,0.8,2.5,1.1,1.8,0.11
National,2020-04-26,nowcast,1.5,0.8,2.5,1.2,1.8,0.09
National,2020-04-27,nowcast,1.6,0.8,2.4,1.2,1.7,0.08
National,2020-04-28,nowcast,1.5,0.9,2.3,1.2,1.8,0.06
National,2020-04-29,nowcast,1.5,0.9,2.2,1.3,1.7,0.08
National,2020-04-30,nowcast,1.5,0.9,2.1,1.2,1.7,0.08
National,2020-05-01,nowcast,1.5,0.9,2.1,1.2,1.7,0.07
National,2020-05-02,nowcast,1.5,1,2.1,1.2,1.6,0.05
National,2020-05-03,nowcast,1.5,0.9,2.1,1.2,1.6,0.05
National,2020-05-04,nowcast,1.5,1,2,1.3,1.6,0.03
National,2020-05-05,nowcast,1.5,1.1,2,1.3,1.6,0.03
National,2020-05-06,nowcast,1.5,1,2,1.3,1.6,0.03
National,2020-05-07,nowcast,1.5,1.1,1.9,1.2,1.6,0.02
National,2020-05-08,nowcast,1.5,1.1,1.9,1.3,1.6,0.02
National,2020-05-09,nowcast,1.4,1,1.8,1.3,1.6,0.02
National,2020-05-10,nowcast,1.4,1,1.8,1.3,1.5,0.03
National,2020-05-11,nowcast,1.4,1,1.7,1.2,1.5,0.04
National,2020-05-12,nowcast,1.3,1,1.7,1.2,1.5,0.04
National,2020-05-13,nowcast,1.3,1,1.6,1.1,1.4,0.06
National,2020-05-14,nowcast,1.3,0.9,1.6,1.1,1.4,0.09
National,2020-05-15,nowcast,1.2,1,1.5,1.1,1.4,0.08
National,2020-05-16,nowcast,1.2,1,1.5,1.1,1.3,0.08
National,2020-05-17,nowcast,1.2,0.9,1.4,1.1,1.3,0.11
National,2020-05-18,nowcast,1.2,1,1.4,1.1,1.3,0.11
National,2020-05-19,nowcast,1.1,0.9,1.4,1,1.2,0.17
National,2020-05-20,nowcast,1.1,0.9,1.3,1,1.2,0.2
National,2020-05-21,nowcast,1.1,0.9,1.3,1,1.2,0.23
National,2020-05-22,nowcast,1.1,0.9,1.3,1,1.2,0.26
National,2020-05-23,nowcast,1.1,0.8,1.3,1,1.2,0.27
National,2020-05-24,nowcast,1.1,0.9,1.3,1,1.1,0.29
National,2020-05-25,nowcast,1.1,0.9,1.3,1,1.1,0.32
National,2020-05-26,nowcast,1,0.8,1.2,1,1.1,0.4
National,2020-05-27,nowcast,1,0.8,1.2,0.9,1.1,0.43
National,2020-05-28,nowcast,1,0.8,1.2,0.9,1.1,0.48
National,2020-05-29,nowcast,1,0.8,1.2,0.9,1.1,0.51
National,2020-05-30,nowcast,1,0.8,1.2,0.9,1.1,0.5
National,2020-05-31,nowcast,1,0.8,1.2,0.9,1.1,0.53
National,2020-06-01,nowcast,1,0.8,1.2,0.9,1.1,0.51
National,2020-06-02,nowcast,1,0.8,1.2,0.9,1.1,0.54
National,2020-06-03,nowcast,1,0.8,1.2,0.9,1.1,0.53
National,2020-06-04,nowcast,1,0.8,1.2,0.9,1.1,0.47
National,2020-06-05,nowcast,1,0.8,1.2,0.9,1.1,0.44
National,2020-06-06,nowcast,1,0.8,1.3,1,1.1,0.35
National,2020-06-07,nowcast,1.1,0.9,1.3,1,1.1,0.27
National,2020-06-08,nowcast,1.1,0.9,1.4,1,1.2,0.19
National,2020-06-09,nowcast,1.2,0.9,1.4,1.1,1.2,0.11
National,2020-06-10,nowcast,1.2,1,1.4,1.1,1.3,0.05
National,2020-06-11,nowcast,1.2,1,1.5,1.1,1.3,0.03
National,2020-06-12,nowcast,1.3,1.1,1.5,1.2,1.3,0.01
National,2020-06-13,nowcast,1.3,1.1,1.5,1.2,1.4,0
National,2020-06-14,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
National,2020-06-15,nowcast,1.3,1.1,1.5,1.2,1.4,0
National,2020-06-16,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
National,2020-06-17,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
National,2020-06-18,nowcast,1.3,1.1,1.5,1.2,1.4,0
National,2020-06-19,nowcast,1.3,1.1,1.5,1.2,1.4,0
National,2020-06-20,nowcast,1.3,1.1,1.5,1.2,1.3,0
National,2020-06-21,nowcast,1.3,1.1,1.5,1.2,1.4,0
National,2020-06-22,nowcast,1.3,1.2,1.5,1.2,1.4,0
National,2020-06-23,nowcast,1.3,1.2,1.5,1.3,1.4,0
National,2020-06-24,nowcast,1.3,1.2,1.5,1.3,1.4,0
National,2020-06-25,nowcast,1.4,1.2,1.5,1.3,1.4,0
National,2020-06-26,nowcast,1.4,1.2,1.5,1.3,1.4,0
National,2020-06-27,nowcast,1.4,1.2,1.5,1.3,1.4,0
National,2020-06-28,nowcast,1.4,1.2,1.5,1.3,1.4,0
National,2020-06-29,nowcast,1.3,1.2,1.5,1.3,1.4,0
National,2020-06-30,nowcast,1.3,1.2,1.5,1.3,1.4,0
National,2020-07-01,nowcast,1.3,1.2,1.5,1.2,1.3,0
National,2020-07-02,nowcast,1.3,1.1,1.4,1.2,1.3,0
National,2020-07-03,nowcast,1.2,1.1,1.4,1.2,1.3,0
National,2020-07-04,nowcast,1.2,1.1,1.3,1.1,1.2,0
National,2020-07-05,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
National,2020-07-06,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
